#,Status,Star,Problem,Difficulty,Score,Category,Pattern
86,TODO,FALSE,[Car Fleet](https://leetcode.com/problems/car-fleet/),Medium,,,
87,TODO,FALSE,[Simplify Path](https://leetcode.com/problems/simplify-path/),Medium,,,
88,TODO,FALSE,[Decode String](https://leetcode.com/problems/decode-string/),Medium,,,
89,TODO,FALSE,[Remove K Digits](https://leetcode.com/problems/remove-k-digits/),Medium,,,
90,TODO,FALSE,[Remove All Adjacent Duplicates In String II](https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/),Medium,,,
91,TODO,FALSE,[132 Pattern](https://leetcode.com/problems/132-pattern/),Medium,,,
92,TODO,FALSE,[Maximum Frequency Stack](https://leetcode.com/problems/maximum-frequency-stack/),Hard,,,
93,TODO,FALSE,[Largest Rectangle In Histogram](https://leetcode.com/problems/largest-rectangle-in-histogram/),Hard,,,
94,TODO,FALSE,[Binary Search](https://leetcode.com/problems/binary-search/),Easy,,,
95,TODO,FALSE,[Search Insert Position](https://leetcode.com/problems/search-insert-position/),Easy,,,
96,TODO,FALSE,[Guess Number Higher Or Lower](https://leetcode.com/problems/guess-number-higher-or-lower/),Easy,,,
97,TODO,FALSE,[Arranging Coins](https://leetcode.com/problems/arranging-coins/),Easy,,,
98,TODO,FALSE,[Squares of a Sorted Array](https://leetcode.com/problems/squares-of-a-sorted-array/),Easy,,,
99,TODO,FALSE,[Valid Perfect Square](https://leetcode.com/problems/valid-perfect-square/),Easy,,,
100,TODO,FALSE,[Search a 2D Matrix](https://leetcode.com/problems/search-a-2d-matrix/),Medium,,,
101,TODO,FALSE,[Koko Eating Bananas](https://leetcode.com/problems/koko-eating-bananas/),Medium,,,
102,TODO,FALSE,[Find Minimum In Rotated Sorted Array](https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/),Medium,,,
103,TODO,FALSE,[Search In Rotated Sorted Array](https://leetcode.com/problems/search-in-rotated-sorted-array/),Medium,,,
104,TODO,FALSE,[Time Based Key Value Store](https://leetcode.com/problems/time-based-key-value-store/),Medium,,,
105,TODO,FALSE,[Find First And Last Position of Element In Sorted Array](https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/),Medium,,,
106,TODO,FALSE,[Maximum Number of Removable Characters](https://leetcode.com/problems/maximum-number-of-removable-characters/),Medium,,,
107,TODO,FALSE,[Populating Next Right Pointers In Each Node](https://leetcode.com/problems/populating-next-right-pointers-in-each-node/),Medium,,,
108,TODO,FALSE,[Search Suggestions System](https://leetcode.com/problems/search-suggestions-system/),Medium,,,
109,TODO,FALSE,[Split Array Largest Sum](https://leetcode.com/problems/split-array-largest-sum/),Hard,,,
110,TODO,FALSE,[Median of Two Sorted Arrays](https://leetcode.com/problems/median-of-two-sorted-arrays/),Hard,,,
111,TODO,FALSE,[Reverse Linked List](https://leetcode.com/problems/reverse-linked-list/),Easy,,,
112,REPEAT,FALSE,[Merge Two Sorted Lists](https://leetcode.com/problems/merge-two-sorted-lists/),Easy,4,Linked List,
113,TODO,FALSE,[Palindrome Linked List](https://leetcode.com/problems/palindrome-linked-list/),Easy,4,"Tree, Recursion",
114,TODO,FALSE,[Remove Linked List Elements](https://leetcode.com/problems/remove-linked-list-elements/),Easy,0,Dynamic Programming,
115,TODO,FALSE,[Remove Duplicates From Sorted List](https://leetcode.com/problems/remove-duplicates-from-sorted-list/),Easy,3.5,"Sorting, Array",
116,TODO,FALSE,[Middle of the Linked List](https://leetcode.com/problems/middle-of-the-linked-list/),Easy,,,
117,REPEAT,FALSE,[Intersection of Two Linked Lists](https://leetcode.com/problems/intersection-of-two-linked-lists/),Easy,3,linked list,
118,TODO,FALSE,[Reorder List](https://leetcode.com/problems/reorder-list/),Medium,,,
119,TODO,FALSE,[Remove Nth Node From End of List](https://leetcode.com/problems/remove-nth-node-from-end-of-list/),Medium,,,
120,TODO,FALSE,[Copy List With Random Pointer](https://leetcode.com/problems/copy-list-with-random-pointer/),Medium,,,
121,TODO,FALSE,[Design Linked List](https://leetcode.com/problems/design-linked-list/),Medium,,,
122,TODO,FALSE,[Design Browser History](https://leetcode.com/problems/design-browser-history/),Medium,,,
123,TODO,FALSE,[Add Two Numbers](https://leetcode.com/problems/add-two-numbers/),Medium,,,
124,TODO,FALSE,[Linked List Cycle](https://leetcode.com/problems/linked-list-cycle/),Easy,,,
125,TODO,FALSE,[Find The Duplicate Number](https://leetcode.com/problems/find-the-duplicate-number/),Medium,,,
126,TODO,FALSE,[Swap Nodes In Pairs](https://leetcode.com/problems/swap-nodes-in-pairs/),Medium,,,
127,TODO,FALSE,[Sort List](https://leetcode.com/problems/sort-list/),Medium,,,
128,TODO,FALSE,[Partition List](https://leetcode.com/problems/partition-list/),Medium,,,
129,TODO,FALSE,[Rotate List](https://leetcode.com/problems/rotate-list/),Medium,,,
130,TODO,FALSE,[Reverse Linked List II](https://leetcode.com/problems/reverse-linked-list-ii/),Medium,,,
131,REPEAT,FALSE,[Design Circular Queue](https://leetcode.com/problems/design-circular-queue/),Medium,0,"Queue, Data Structure",
132,TODO,FALSE,[Insertion Sort List](https://leetcode.com/problems/insertion-sort-list/),Medium,,,
133,TODO,FALSE,[LRU Cache](https://leetcode.com/problems/lru-cache/),Medium,,,
134,TODO,FALSE,[Merge K Sorted Lists](https://leetcode.com/problems/merge-k-sorted-lists/),Hard,,,
135,TODO,FALSE,[Reverse Nodes In K Group](https://leetcode.com/problems/reverse-nodes-in-k-group/),Hard,,,
